Role;Seniority;Specialization;Skill;Proficiency
Test Engineer;Senior;QA Manual;Postman;3
Test Engineer;Senior;QA Manual;Regression Testing;4
Test Engineer;Senior;QA Manual;SQL;3
Test Engineer;Senior;QA Manual;Test Cases;4
Software Developer;Senior;JavaScript (Angular, React etc.);CSS3;4
Software Developer;Senior;JavaScript (Angular, React etc.);Git;3
Software Developer;Senior;JavaScript (Angular, React etc.);JavaScript;5
Software Developer;Senior;JavaScript (Angular, React etc.);Jest;3
Software Developer;Senior;JavaScript (Angular, React etc.);React;4
Software Developer;Senior;JavaScript (Angular, React etc.);Redux;3
Software Developer;Senior;JavaScript (Angular, React etc.);TypeScript;3
Software Developer;Senior;JavaScript (Angular, React etc.);Webpack;3
Functional/System Analyst;Regular;Functional/System Analysis;Atlassian Confluence;3
Functional/System Analyst;Regular;Functional/System Analysis;Atlassian Jira;3
Functional/System Analyst;Regular;Functional/System Analysis;Business Process Modeling Notation (BPMN);3
Functional/System Analyst;Regular;Functional/System Analysis;SQL;3
Functional/System Analyst;Regular;Functional/System Analysis;UML;3
Software Developer;Senior;C#/VB.NET;.NET Core;3
Software Developer;Senior;C#/VB.NET;C#/.NET;3
Software Developer;Senior;C#/VB.NET;Entity Framework (EF Core);3
Software Developer;Senior;C#/VB.NET;Entity Framework (EF Core);4
Software Developer;Senior;C#/VB.NET;Git;4
Software Developer;Senior;C#/VB.NET;Microsoft ASP.NET;4
Software Developer;Senior;C#/VB.NET;Microsoft SQL Server;3
Software Developer;Senior;C#/VB.NET;PostgreSQL;3
Software Developer;Senior;C#/VB.NET;SQL;4
Software Developer;Regular;JavaScript (Angular, React etc.);CSS3;4
Software Developer;Regular;JavaScript (Angular, React etc.);Git;3
Software Developer;Regular;JavaScript (Angular, React etc.);JavaScript;4
Software Developer;Regular;JavaScript (Angular, React etc.);Jest;3
Software Developer;Regular;JavaScript (Angular, React etc.);React;4
Software Developer;Regular;JavaScript (Angular, React etc.);Redux;3
Software Developer;Regular;JavaScript (Angular, React etc.);TypeScript;3
Functional/System Analyst;Lead;Functional/System Analysis;Atlassian Confluence;4
Functional/System Analyst;Lead;Functional/System Analysis;Atlassian Jira;3
Functional/System Analyst;Lead;Functional/System Analysis;Business Process Modeling Notation (BPMN);3
Functional/System Analyst;Lead;Functional/System Analysis;Business Process Modeling Notation (BPMN);4
Functional/System Analyst;Lead;Functional/System Analysis;JSON;3
Functional/System Analyst;Lead;Functional/System Analysis;Requirements Analysis;4
Functional/System Analyst;Lead;Functional/System Analysis;REST API;3
Functional/System Analyst;Lead;Functional/System Analysis;SQL;4
Functional/System Analyst;Lead;Functional/System Analysis;UML;4
Software Developer;Lead;Java;Apache Kafka;3
Software Developer;Lead;Java;Apache Maven;4
Software Developer;Lead;Java;Atlassian Confluence;3
Software Developer;Lead;Java;Atlassian Jira;3
Software Developer;Lead;Java;Docker;3
Software Developer;Lead;Java;Git;4
Software Developer;Lead;Java;GitLab;3
Software Developer;Lead;Java;Java;5
Software Developer;Lead;Java;JavaScript;3
Software Developer;Lead;Java;JUnit;4
